Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,micromark-extension-gfm-task-list-item,2.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-gfm-task-list-item@2.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-highlight-mark,1.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-highlight-mark@1.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-mdx-expression,3.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-mdx-expression@3.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-mdx-jsx,3.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-mdx-jsx@3.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-mdx-md,2.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-mdx-md@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-mdxjs,3.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-mdxjs@3.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-mdxjs-esm,3.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-mdxjs-esm@3.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-factory-destination,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-destination@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-factory-label,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-label@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-factory-mdx-expression,2.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-mdx-expression@2.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
